company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,100.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85.0
ABB,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75.15
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.65
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.15
ADANIENSOL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIENSOL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69.26
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,74.3
ADANIENSOL,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
ADANIENSOL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
ADANIENSOL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.38
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIENT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
ADANIENT,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
ADANIGREEN,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
ADANIGREEN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
ADANIGREEN,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
ADANIGREEN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.0
ADANIPORTS,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIPORTS,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
ADANIPORTS,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.54
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80.68
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85.0
ADANIPOWER,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
ADANIPOWER,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
AMBUJACEM,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,96.95
AMBUJACEM,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
AMBUJACEM,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,93.23
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.88
APOLLOHOSP,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
APOLLOHOSP,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
APOLLOHOSP,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
APOLLOHOSP,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
APOLLOHOSP,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
ASIANPAINT,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71.65
ATGL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,65.88
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.21
ATGL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.78
ATGL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87.34
ATGL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78.57
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.42
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
AXISBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
AXISBANK,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
AXISBANK,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100.0
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BAJAJ-AUTO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.01
BAJAJ-AUTO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BAJAJ-AUTO,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78.93
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.86
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.56
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.04
BAJAJFINSV,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
BAJAJFINSV,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,93.96
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.26
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BAJAJHLDNG,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BAJAJHLDNG,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100.0
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.82
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.01
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,81.31
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94.31
BAJFINANCE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,80.0
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BAJFINANCE,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,93.25
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.79
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.49
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80.0
BANKBARODA,con,CON_05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80.0
BANKBARODA,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,100.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85.0
BEL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
BEL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80.0
